unique_id,source,text,target,target_en,implied_statement,label
EN_train_stereo_text_7451,EN,gosh darn to bad we whites deserve it for being mean to some brown people a long time ago . diversity is the future !,non-white people,non-white people,non-white people are overly sensitive,areEmotional
EN_train_stereo_text_11155,EN,team america needs immigrants who speak read write english has a college degree and a verifiable work history not 3rd world type losers who makes no effort to assimilate sports teams pick the best of the best and they dont recruit in 3rd world countries.,immigrants,immigrants,immigrants are not smart,areUnintelligent
EN_test_stereo_text_8092,EN,elder from all of white racist trump loving americans . happy thanksgiving to you and your family sir .,trump supporters,trump supporters,trump supporters are white racists,
EN_test_stereo_text_247,EN,the choice is clear white folks : multiracial democracy or white nationalism ? #donaldtrump is our chance 2 choose . pick and prepare to fight,non-white people,non-white people,non-white people are inferior,
EN_test_stereo_text_9003,EN,: white genocide as business : starbucks promoting race mixing for white women ( video ),progressives,progressives,progressives are killing off the white race,
EN_train_stereo_text_6609,EN, white lives matter reads of boomer ,blacks,blacks,black people are inferior,areSubordinate
EN_train_stereo_text_7097,EN,i am drunk on your white tears of pain ! !,minorities,minorities,minorities are attacking whites,areAggressive
EN_trainclean_stereo_text_11260,EN,let jihadi justin know so he can start budgeting his next 10.5 million settlement.,muslims,muslims,muslims are violent,
EN_train_stereo_text_11757,EN,universities are european institutions. if they want to learn about africa they should go back to africa.,blacks,blacks,black folks should not expect to learn about africa in europe,lackKnowledgeAboutAfrica
EN_trainclean_stereo_text_10878,EN,the muslim paradigm is a soulless vapid perverted stain on the bed of humanity.,muslims,muslims,muslims are soulless,
EN_train_stereo_text_7410,EN,both north america and europe belong to us . white men conquered and colonized both .,whites,whites,white people rule everything,seekTotalControl
EN_train_stereo_text_268,EN,former black ou football player pimps his former white ou cheerleader girlfriend for $ 200 via,blacks,blacks,black people are pimps,arePredatory
EN_train_stereo_text_5823,EN,: proof of white genocide video :,whites,whites,white people are dying,areWeak
EN_test_stereo_text_8457,EN,this is in fact a jew larping as a white man larping a catholic priest,jews,jews,jews are jealous of whites,
EN_test_stereo_text_7746,EN,name one of these thriving black communities that black people built .,blacks,blacks,black people don't build their own communities,
EN_trainclean_stereo_text_7980,EN,white british : minority within 50 years #swrm #white #whitegenocide #uk via,whites,whites,white people are becoming the minority,
EN_train_stereo_text_3681,EN,people encourage mixed race relationships which is breeding out the white race that's white racial genocide .,non-white people,non-white people,non-white people are impure,areTainted
EN_test_stereo_text_3887,EN,#powerdivision of the #liftwaffe marches on ! the crusade against bugmen continues with a 275x2 strict press !,common people,common people,common people are incompetent,
EN_trainclean_stereo_text_6776,EN,white genocide in the united states of america a 100 year history #swrm #whitegenocide #usa via,minorities,minorities,minorities wipe out white culture,
EN_trainclean_stereo_text_9959,EN,. wow - a minute ago i was irrelevant and now i'm making you look bad! what's next? zionists moved your shoes?,jews,jews,jews are zionists,
ITA_test__1118590423071637504,ITA,"URL Bin SALMAN Saruman prophet mohammed crazy ] [ che, voi avete messo in piedi: tutta questa pagliacciata del Corano soltanto per stuprare le bambine e derubare i cadaveri innocenti! te la do io la guerra contro la Russia e contro la CINA!",,,la religione islamica incita alla violenza contro le donne,1.0
ITA_joined__1075870739214016514,ITA,"Forse loro non dovevano essere là, ma è inconcepibile chiamare uomini questi bastardi che hanno #sgozzato le due #ragazze ancora #vive, dopo inaudite #violenze.Questo è l'#Islam?Basta consentire il propagarsi di questa subcultura!#Combattiamo e #eliminiamolo come il #Nazismo URL",,,,1.0
ITA_joined__785129756354342912,ITA,Carabinieri investiti a Giugliano: fermato un cittadino rom pronto alla fuga... #news #Napoli URL,Roma,roma people,,1.0
ITA_joined__1040912213882691584,ITA,@user @user vuole paragonare gli italiani ha questi migranti chiamiamoli cosi..forse lei è un po giovane il 99 % lascio l'1% x lei(cosa che non si può fare con questa marea di extracomunitari che ci stanno soffocando)quando partirono lo fecero per lavorare..questi vogliono fare i mantenuti..,,,,1.0
ITA_graph__1074417486437728256,ITA,"@user @user @user I terremotati italiani non portano benefici economici al business dell'accoglienza, contrariamente alla feccia migrante proveniente dall'Africa.",,,,1.0
ITA_test__1091845169522069505,ITA,"... per conto di Satana, Rothschild, Rockefeller, Soros, Troika UE, PD, Islam, ecc., ecc. e soci elitari massomafiosionisti e gesuiti. La peggior FECCIA della CRIMINALITÀ UMANITARIA planetaria... quella mondialista e globalista, in breve.",mussulmani,muslims,i musulmani sono criminali,1.0
ITA_joined__1072620180713418752,ITA,Vengono a casa nostra. Radicalizzano anche gli europei. Creano degrado e terrore. Non esiste l'Islam moderato. Esiste solo il buio in cui vorrebbero farci vivere.Il cancro della civiltà va estirpato senza se e senza ma.,,,,1.0
ITA_joined__1051830042681053185,ITA,Cosa aspettiamo avrendere l'Islam illegale??? Chiaramente non è compatibile con le democrazie occidentali. Aspettiamo che abbiano la maggioranza a forza di figliare ed importare africani?,,,,1.0
ITA_joined__1040908671272857600,ITA,@user MAI  PIU'  ISIS   PD  E LEU  AL GOVERNO  SI SPERA  - HANNO  FATTO  I PATTI   CON   LA  UE   CHE  DOBBIAMO  ACCOGLIERE  TUTTI  I MIGRANTI  E TENERLI.  E HANNO  LASCIATO 16 MILIONI  DI ITALIANI  SENZA  CASA  SENZA LAVORO.,,,,1.0
ITA_test__1124703961120948229,ITA,@user @user @user @user @user @user @user @user @user @user Matteo non si tocca...fuori i delinquenti stranieri da casa nostra !,minoranza_etnica,ethnic minorities,gli stranieri sono criminali,1.0
